matrix,threads,schedule,chunk,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_misses,time_ms
Transport,2,guided,1000,17520237957,40365531,77343,24772,
Transport,2,guided,1000,17520237956,40551890,78228,24439,
Transport,2,guided,10000,17520237968,40461785,80602,23883,
Transport,2,guided,10000,17520237966,40354708,77252,24029,
Transport,2,guided,10000,17520237967,39841968,80643,24633,
Transport,2,guided,10000,17520237968,40667952,78957,23974,
Transport,2,guided,10000,17520237968,40143134,75492,23781,
Transport,4,static,100,17520237640,41078416,80086,24509,
Transport,4,static,100,17520237640,40357680,78713,24492,
Transport,4,static,100,17520237638,40133820,77695,23931,
Transport,4,static,100,17520237640,40775110,76806,24369,
Transport,4,static,100,17520237635,41028442,79658,24415,
Transport,4,static,1000,17520237636,40739758,78354,24081,
Transport,4,static,1000,17520237636,41479655,80341,24545,
Transport,4,static,1000,17520237634,40399314,81289,24614,
Transport,4,static,1000,17520237635,40935731,78595,24398,
Transport,4,static,1000,17520237630,41141677,79012,24785,
Transport,4,static,10000,17520237644,40566678,78592,23814,
Transport,4,static,10000,17520237643,41431928,77840,24169,
Transport,4,static,10000,17520237643,41604966,76506,23693,
Transport,4,static,10000,17520237643,41407666,77537,23951,
Transport,4,static,10000,17520237642,41044231,79140,23801,
Transport,4,dynamic,100,17520237962,40577170,82759,24212,
Transport,4,dynamic,100,17520237960,40302884,77141,24155,
Transport,4,dynamic,100,17520237963,40315340,80560,24088,
Transport,4,dynamic,100,17520237960,40507113,80085,24526,
Transport,4,dynamic,100,17520237959,40762997,82301,24064,
Transport,4,dynamic,1000,17520237957,42045792,77808,24205,
Transport,4,dynamic,1000,17520237956,41535139,82991,25167,
Transport,4,dynamic,1000,17520237953,40427856,81563,25009,
Transport,4,dynamic,1000,17520237955,41328500,77518,24585,
Transport,4,dynamic,1000,17520237956,41095742,80484,24477,
Transport,4,dynamic,10000,17520237962,40666956,80396,24022,
Transport,4,dynamic,10000,17520237963,41174192,78096,23959,
Transport,4,dynamic,10000,17520237964,41246051,77822,23379,
Transport,4,dynamic,10000,17520237963,42452918,78033,23960,
Transport,4,dynamic,10000,17520237962,40500065,79779,23828,
Transport,4,guided,100,17520237966,40802207,78419,24206,
Transport,4,guided,100,17520237964,40386100,76781,24076,
Transport,4,guided,100,17520237966,40916885,78882,24072,
Transport,4,guided,100,17520237963,40988143,80745,24739,
Transport,4,guided,100,17520237963,40596680,79794,24091,
Transport,4,guided,1000,17520237957,40793429,76892,23945,
Transport,4,guided,1000,17520237968,40233625,77676,24221,
Transport,4,guided,1000,17520237958,41263444,81260,24470,
Transport,4,guided,1000,17520237956,40629261,78438,24850,
Transport,4,guided,1000,17520237957,41253094,78805,24571,
Transport,4,guided,10000,17520237906,39948249,80060,23990,
Transport,4,guided,10000,17520237967,40590343,76781,23622,
Transport,4,guided,10000,17520237966,39928225,80601,24289,
Transport,4,guided,10000,17520237966,40917887,76931,23887,
Transport,4,guided,10000,17520237965,40670352,77462,23883,
Transport,8,static,100,17520237640,41142426,77436,23952,
Transport,8,static,100,17520237637,40615442,79408,24245,
Transport,8,static,100,17520237638,41333514,80318,23957,
Transport,8,static,100,17520237638,41176105,79255,24041,
Transport,8,static,100,17520237640,41561709,80342,24016,
Transport,8,static,1000,17520237631,40742786,77507,23746,
Transport,8,static,1000,17520237632,41134711,79372,24887,
Transport,8,static,1000,17520237636,40945249,78672,24983,
Transport,8,static,1000,17520237634,40690634,78486,24659,
Transport,8,static,1000,17520237635,40636809,79250,24690,
Transport,8,static,10000,17520237643,40801973,80670,24130,
Transport,8,static,10000,17520237642,40626379,74047,23527,
Transport,8,static,10000,17520237640,40549416,78510,24099,
Transport,8,static,10000,17520237644,41769574,80220,24387,
Transport,8,static,10000,17520237640,40734258,78964,24210,
Transport,8,dynamic,100,17520237963,40538848,80897,24321,
Transport,8,dynamic,100,17520237962,40959438,75438,23882,
Transport,8,dynamic,100,17520237963,40862485,79549,24146,
Transport,8,dynamic,100,17520237962,40438446,78267,23578,
Transport,8,dynamic,100,17520237962,41139892,81119,24270,
Transport,8,dynamic,1000,17520237955,40204301,78948,24569,
Transport,8,dynamic,1000,17520237957,40473560,75422,24858,
Transport,8,dynamic,1000,17520237956,40873041,79034,24794,
Transport,8,dynamic,1000,17520237956,41085424,76860,24531,
Transport,8,dynamic,1000,17520237954,40441481,76674,24673,
Transport,8,dynamic,10000,17520237965,41089720,78360,24044,
Transport,8,dynamic,10000,17520237965,40251471,78485,23919,
Transport,8,dynamic,10000,17520237965,40267895,79217,23859,
Transport,8,dynamic,10000,17520237963,40471773,79309,24078,
Transport,8,dynamic,10000,17520237962,40289219,78224,23956,
Transport,8,guided,100,17520237964,40196981,81016,24313,
Transport,8,guided,100,17520237962,40791807,77470,24383,
Transport,8,guided,100,17520237963,41228851,78420,23990,
Transport,8,guided,100,17520237964,41111226,79929,24065,
Transport,8,guided,100,17520237966,40159862,79955,24202,
Transport,8,guided,1000,17520237957,42134311,80049,24391,
Transport,8,guided,1000,17520237958,40028317,81874,24841,
Transport,8,guided,1000,17520237957,40614911,78046,24787,
Transport,8,guided,1000,17520237959,40767223,79941,24424,
Transport,8,guided,1000,17520237956,41131253,78924,25096,
Transport,8,guided,10000,17520237968,41586241,75822,24095,
Transport,8,guided,10000,17520237967,40822700,78090,24151,
Transport,8,guided,10000,17520237968,40151650,77739,23559,
Transport,8,guided,10000,17520237968,40995798,77863,23959,
Transport,8,guided,10000,17520237964,40763025,77589,24446,
Transport,16,static,100,17520237641,40413917,76742,24085,
Transport,16,static,100,17520237640,41641052,80575,24729,
Transport,16,static,100,17520237641,40482303,79028,23889,
Transport,16,static,100,17520237641,40684823,79796,24252,
Transport,16,static,100,17520237641,41020890,79603,23765,
Transport,16,static,1000,17520237635,40269009,76206,23784,
Transport,16,static,1000,17520237633,42788634,78564,24894,
Transport,16,static,1000,17520237632,40195780,79334,24673,
Transport,16,static,1000,17520237635,40267688,79987,25104,
Transport,16,static,1000,17520237634,41376947,80156,24895,
Transport,16,static,10000,17520237642,40167825,79785,23472,
Transport,16,static,10000,17520237645,40270997,78958,24034,
Transport,16,static,10000,17520237644,40438904,78567,23751,
Transport,16,static,10000,17520237643,40108651,79991,24026,
Transport,16,static,10000,17520237643,40377701,79622,23687,
Transport,16,dynamic,100,17520237960,40153863,78821,23946,
Transport,16,dynamic,100,17520237960,40857937,79117,24016,
Transport,16,dynamic,100,17520237963,40385507,72922,23827,
Transport,16,dynamic,100,17520237963,40474885,79285,24048,
Transport,16,dynamic,100,17520237963,40497461,78976,23885,
Transport,16,dynamic,1000,17520237954,40402182,79834,24668,
Transport,16,dynamic,1000,17520237956,39903958,79154,24396,
Transport,16,dynamic,1000,17520237956,40386732,82173,24825,
Transport,16,dynamic,1000,17520237958,40493404,77391,24718,
Transport,16,dynamic,1000,17520237958,40475719,78373,24743,
Transport,16,dynamic,10000,17520237965,40462104,78561,24302,
Transport,16,dynamic,10000,17520237966,40521142,77963,23991,
Transport,16,dynamic,10000,17520237965,41412691,79736,24065,
Transport,16,dynamic,10000,17520237962,40543613,79794,24580,
Transport,16,dynamic,10000,17520237966,40998099,76528,23862,
Transport,16,guided,100,17520237964,40236131,77675,24251,
Transport,16,guided,100,17520237966,41055616,79102,24110,
Transport,16,guided,100,17520237967,40535758,78598,24097,
Transport,16,guided,100,17520237966,40636703,78874,24141,
Transport,16,guided,100,17520237966,39811513,78146,23777,
Transport,16,guided,1000,17520237960,41145196,79266,24069,
Transport,16,guided,1000,17520237960,40687090,79809,24336,
